word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason	metaphone_code	quality_tier	playfulness_score	concreteness_score
able	4	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		ABL	1	1	0
abler	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	comparative:able	ABLR	2	0	0
ablest	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	superlative:able	ABLST	2	0	0
abloom	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABLM	2	0	0
ablush	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABLX	2	0	0
abnaki	6	1	1	0	1	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABNK	4	-11	-12
abode	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABT	2	0	2
abodes	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abode	ABTS	4	0	-8
abohm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABM	3	0	-2
abohms	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abohm	ABMS	4	0	-12
aboral	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABRL	2	0	0
abort	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABRT	2	0	-2
aborts	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abort	ABRTS	4	0	-12
abortus	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABRTS	4	0	-13
abos	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABS	4	0	-10
aboulia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABL	4	0	-12
aboulic	7	1	0	0	1	0	0	0	english_alpha	0	0		ABLK	4	-10	0
about	5	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		ABT	1	1	0
above	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		ABF	1	1	-1
aboves	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABFS	4	0	-12
abraded	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABRTT	2	0	0
abrader	7	0	1	0	0	1	0	0	english_alpha	0	0		ABRTR	4	0	-8
abraham	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	ABRHM	3	0	1
abramis	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABRMS	4	0	-13
abreast	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0		ABRST	2	0	0
abroach	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABRX	2	0	0
abroad	6	1	0	0	1	0	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		ABRT	1	1	0
abronia	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABRN	4	0	-13
abrupt	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABRPT	2	0	0
abscess	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSSS	4	0	-12
abseil	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSL	4	0	-12
abseils	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSLS	4	0	-12
absence	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		ABSNS	1	0	-1
absent	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		ABSNT	1	1	0
absinth	7	0	1	0	0	1	0	0	english_alpha	0	0		ABSN0	4	0	-8
absurd	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,simple_adjectives	1	0		ABSRT	2	2	-2
absurds	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSRTS	4	0	-12
abulia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABL	4	0	-12
abulias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABLS	4	0	-12
abulic	6	1	0	0	1	0	0	0	english_alpha	0	0		ABLK	4	-10	0
abuse	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers	1	0		ABS	1	0	-1
abused	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABST	2	0	0
abuser	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABSR	4	0	-10
abusers	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABSRS	4	0	-10
abuses	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abuse	ABSS	4	0	-12
abusive	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABSF	2	0	0
abutter	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR	4	0	-10
abuzz	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		ABS	2	2	0
abvolt	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABFLT	4	0	-12
abvolts	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABFLTS	4	0	-12
abwatt	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABWT	4	0	-12
abwatts	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABWTS	4	0	-12
abysm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABSM	3	0	2
abysmal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABSML	2	0	0
abysms	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abysm	ABSMS	4	0	-8
abyss	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABS	2	0	2
abyssal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABSL	2	0	0
abysses	7	0	1	0	0	1	0	0	english_alpha	0	0	plural:abyss	ABSS	4	0	-8
acacia	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKX	4	0	-13
acacias	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKXS	4	0	-13
academe	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKTM	4	0	-10
academy	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		AKTM	3	0	3
acadia	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKT	4	0	-8
acadian	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0	proper_noun:lex_heuristic	AKTN	2	0	0
acantha	7	0	1	0	0	1	0	0	english_alpha	0	0		AKN0	4	0	-8
acanthi	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKN0	4	0	-13
acapnia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKPN	4	0	-12
acardia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKRT	4	0	-12
acari	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		AKR	3	0	2
acarid	6	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0		AKRT	2	0	2
acarids	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRTS	4	0	-13
acarina	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRN	4	0	-13
acarine	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0		AKRN	2	0	2
acaroid	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		AKRT	2	0	0
acarus	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRS	4	0	-13
acaudal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTL	2	0	0
accent	6	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKSNT	1	0	-1
accents	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKSNTS	4	0	-12
access	6	0	1	0	0	1	0	0	bip39,english_alpha,google_10000	1	0		AKSS	1	0	1
acclaim	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		AKKLM	2	0	-2
accord	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKKRT	4	0	-12
accords	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKKRTS	4	0	-12
account	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0		AKKNT	1	0	-1
accra	5	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKKR	4	0	-8
accrete	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		AKKRT	2	0	0
accrual	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKKRL	4	0	-12
accrued	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKKRT	2	0	0
accurst	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKKRST	2	0	0
accusal	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKKSL	4	0	-12
accused	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	AKKST	3	0	1
accuser	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKKSR	4	0	-10
acedia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AST	4	0	-12
acedias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ASTS	4	0	-12
acer	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	brand:manual	ASR	3	0	3
acerate	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASRT	2	0	0
acerb	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		ASRB	2	0	0
acerber	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acerb	ASRBR	4	-10	0
acerbic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASRBK	2	0	0
acerola	7	0	1	0	0	1	0	0	english_alpha	0	0		ASRL	4	0	-8
acerose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASRS	2	0	0
acerous	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ASRS	2	0	0
acers	5	0	1	0	0	1	0	0	wordle_guesses	1	0	plural:acer	ASRS	3	0	2
aces	4	0	1	0	0	1	0	0	english_alpha	0	0		ASS	4	0	-10
acetal	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTL	4	0	-8
acetals	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTLS	4	0	-8
acetate	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTT	4	0	-8
acetic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTK	2	-1	0
acetin	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTN	4	0	-8
acetins	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTNS	4	0	-8
acetone	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		ASTN	2	0	2
acetose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTS	2	0	0
acetous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTS	2	0	0
acetum	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTM	4	0	-8
acetyl	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTL	4	0	-8
acetyls	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTLS	4	0	-8
achaean	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0		AXN	2	-1	0
ache	4	0	1	0	0	1	0	0	english_alpha	0	0	body_medical:manual	AX	4	0	-12
achene	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXN	4	0	-13
achenes	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXNS	4	0	-13
acheron	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AXRN	4	0	-8
aches	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:ache	AXS	3	0	-2
aching	6	1	1	0	1	1	1	0	eff,english_alpha,simple_adjectives	1	0		AXNK	2	0	-2
achira	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXR	4	0	-13
acholia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AXL	4	0	-12
achras	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXRS	4	0	-13
achy	4	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AX	2	0	0
achylia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AXL	4	0	-12
acicula	7	0	1	0	0	1	0	0	english_alpha	0	0		ASKL	4	0	-8
acid	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		AST	1	1	3
acider	6	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acid	ASTR	4	-10	0
acidic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTK	2	0	0
acidity	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ASTT	4	0	-12
acids	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses	1	0	plural:acid	ASTS	2	0	3
aciform	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ASFRM	2	0	0
acinar	6	1	0	0	1	0	0	0	english_alpha	0	0		ASNR	4	-11	0
acini	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ASN	3	0	2
acinic	6	1	0	0	1	0	0	0	english_alpha	0	0		ASNK	4	-11	0
acinose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASNS	2	-1	0
acinous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASNS	2	-1	0
acinus	6	0	1	0	0	1	0	0	english_alpha	0	0		ASNS	4	0	-8
ackee	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		AK	3	0	2
ackees	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:ackee	AKS	4	0	-8
acme	4	0	1	0	0	1	0	0	english_alpha	0	0		AKM	4	0	-10
acmes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acme	AKMS	3	0	0
acne	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		AKN	3	0	-1
acned	5	1	0	0	1	0	0	0	english_alpha,wordle_guesses	1	0		AKNT	3	0	0
acnes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acne	AKNS	3	0	-2
acock	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	profanity_substr:cock	AKK	2	0	0
acold	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		AKLT	2	0	0
acolyte	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKLT	4	0	-12
aconite	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKNT	4	0	-13
acorea	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKR	4	0	-12
acorn	5	0	1	0	0	1	0	0	eff,english_alpha,wordle_answers	1	0		AKRN	2	0	2
acorned	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		AKRNT	2	0	0
acorns	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:acorn	AKRNS	4	0	-13
acorus	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRS	4	0	-13
acousma	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKSM	4	0	-12
acre	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKR	1	0	1
acreage	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKRJ	4	0	-12
acred	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		AKRT	2	0	0
acres	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses	1	0	plural:acre	AKRS	2	0	1
acrid	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_answers	1	0		AKRT	2	0	0
acrider	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acrid	AKRTR	4	-10	0
acridid	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRTT	4	0	-13
acrobat	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKRBT	1	0	1
acrogen	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRJN	4	0	-13
acromia	7	0	1	0	0	1	0	0	english_alpha	0	0		AKRM	4	0	-8
acronym	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		AKRNM	2	0	-2
across	6	1	0	0	0	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		AKRS	1	1	0
acrylic	7	1	1	0	0	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		AKRLK	1	1	3
actable	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTBL	2	0	0
actaea	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKT	4	0	-13
actin	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		AKTN	3	0	2
actinal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTNL	2	0	0
acting	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		AKTNK	1	1	-1
actings	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKTNKS	4	0	-12
actinia	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKTN	4	0	-13
actinic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTNK	2	-1	0
actinon	7	0	1	0	0	1	0	0	english_alpha	0	0		AKTNN	4	0	-8
actins	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:actin	AKTNS	4	0	-8
action	6	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0	abstract_corporate:noun_manual	AKXN	1	0	1
actions	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		AKXNS	3	0	1
actium	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKTM	4	0	-10
active	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		AKTF	1	1	1
actives	7	0	1	0	0	1	0	0	english_alpha	0	0		AKTFS	4	0	-10
actor	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers	1	0		AKTR	1	0	1
actors	6	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	AKTRS	3	0	1
actress	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0		AKTRS	1	0	1
acts	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKTS	1	0	-1
actual	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		AKTL	1	1	0
actuary	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKTR	4	0	-10
acuate	6	1	0	0	1	0	0	0	english_alpha	0	0		AKT	4	-10	0
acuity	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKT	4	0	-12
aculea	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKL	4	0	-13
aculeus	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKLS	4	0	-13
acumen	6	0	1	0	0	1	0	0	english_alpha	0	0		AKMN	4	0	-10
acumens	7	0	1	0	0	1	0	0	english_alpha	0	0		AKMNS	4	0	-10
acute	5	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives,wordle_answers	1	0	formal_clinical:adj_manual	AKT	1	1	-1
acuter	6	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acute	AKTR	4	-10	0
acutes	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKTS	4	0	-12
acutest	7	1	0	0	1	0	0	0	english_alpha	0	0	superlative:acute	AKTST	4	-10	0
acyclic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASKLK	2	0	0
acyl	4	0	1	0	0	1	0	0	english_alpha	0	0		ASL	4	0	-8
acyls	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acyl	ASLS	3	0	2
adad	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATT	4	0	-10
adage	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ATJ	2	0	-2
adages	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATJS	4	0	-12
adagio	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0		ATJ	2	0	-2
