word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason
acapnia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acardia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acari	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
acarid	6	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0	
acarids	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acarina	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acarine	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0	
acaroid	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
acarus	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acaudal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
accent	6	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0	
accents	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
access	6	0	1	0	0	1	0	0	bip39,english_alpha,google_10000	1	0	
acclaim	7	0	1	0	0	1	0	0	eff,english_alpha	1	0	
accord	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
accords	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
account	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0	
accra	5	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
accrete	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
accrual	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
accrued	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
accurst	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
accusal	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
accused	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic
accuser	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
acedia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acedias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acer	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	brand:manual
acerate	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acerb	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	
acerber	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acerb
acerbic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acerola	7	0	1	0	0	1	0	0	english_alpha	0	0	
acerose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acerous	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
acers	5	0	1	0	0	1	0	0	wordle_guesses	1	0	plural:acer
aces	4	0	1	0	0	1	0	0	english_alpha	0	0	
acetal	6	0	1	0	0	1	0	0	english_alpha	0	0	
acetals	7	0	1	0	0	1	0	0	english_alpha	0	0	
acetate	7	0	1	0	0	1	0	0	english_alpha	0	0	
acetic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acetin	6	0	1	0	0	1	0	0	english_alpha	0	0	
acetins	7	0	1	0	0	1	0	0	english_alpha	0	0	
acetone	7	0	1	0	0	1	0	0	eff,english_alpha	1	0	
acetose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acetous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acetum	6	0	1	0	0	1	0	0	english_alpha	0	0	
acetyl	6	0	1	0	0	1	0	0	english_alpha	0	0	
acetyls	7	0	1	0	0	1	0	0	english_alpha	0	0	
achaean	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0	
ache	4	0	1	0	0	1	0	0	english_alpha	0	0	body_medical:manual
achene	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
achenes	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acheron	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
aches	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:ache
aching	6	1	1	0	1	1	1	0	eff,english_alpha,simple_adjectives	1	0	
achira	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acholia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
achras	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
achy	4	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
achylia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acicula	7	0	1	0	0	1	0	0	english_alpha	0	0	
acid	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0	
acider	6	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acid
acidic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acidity	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acids	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses	1	0	plural:acid
aciform	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
acinar	6	1	0	0	1	0	0	0	english_alpha	0	0	
acini	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
acinic	6	1	0	0	1	0	0	0	english_alpha	0	0	
acinose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acinous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acinus	6	0	1	0	0	1	0	0	english_alpha	0	0	
ackee	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
ackees	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:ackee
acme	4	0	1	0	0	1	0	0	english_alpha	0	0	
acmes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acme
acne	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	
acned	5	1	0	0	1	0	0	0	english_alpha,wordle_guesses	1	0	
acnes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acne
acock	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	profanity_substr:cock
acold	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	
acolyte	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
aconite	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acorea	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acorn	5	0	1	0	0	1	0	0	eff,english_alpha,wordle_answers	1	0	
acorned	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
acorns	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:acorn
acorus	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acousma	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acre	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0	
acreage	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
acred	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	
acres	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses	1	0	plural:acre
acrid	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_answers	1	0	
acrider	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acrid
acridid	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acrobat	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0	
acrogen	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acromia	7	0	1	0	0	1	0	0	english_alpha	0	0	
acronym	7	0	1	0	0	1	0	0	eff,english_alpha	1	0	
across	6	1	0	0	0	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0	
acrylic	7	1	1	0	0	1	1	0	english_alpha,google_10000,simple_adjectives	1	0	
actable	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
actaea	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
actin	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
actinal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acting	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0	
actings	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
actinia	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
actinic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
actinon	7	0	1	0	0	1	0	0	english_alpha	0	0	
actins	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:actin
action	6	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0	abstract_corporate:noun_manual
actions	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	
actium	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
active	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0	
actives	7	0	1	0	0	1	0	0	english_alpha	0	0	
actor	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers	1	0	
actors	6	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic
actress	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0	
acts	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0	
actual	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0	
actuary	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
acuate	6	1	0	0	1	0	0	0	english_alpha	0	0	
acuity	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
aculea	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
aculeus	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acumen	6	0	1	0	0	1	0	0	english_alpha	0	0	
acumens	7	0	1	0	0	1	0	0	english_alpha	0	0	
acute	5	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives,wordle_answers	1	0	formal_clinical:adj_manual
acuter	6	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acute
acutes	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
acutest	7	1	0	0	1	0	0	0	english_alpha	0	0	superlative:acute
acyclic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
acyl	4	0	1	0	0	1	0	0	english_alpha	0	0	
acyls	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acyl
adad	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adage	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	
adages	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adagio	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0	
adagios	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
adam	4	1	1	0	0	1	1	0	english_alpha,google_10000,simple_adjectives	1	0	proper_noun:lex_heuristic
adamant	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0	
adamic	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
adams	5	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic
adapa	5	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adapid	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
adapted	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0	
adapter	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	
adaptor	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	
adar	4	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
adaxial	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
addable	7	1	0	0	1	0	0	0	english_alpha	0	0	
addax	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
addaxes	7	0	1	0	0	1	0	0	english_alpha	0	1	plural:addax
added	5	1	0	0	0	0	1	0	english_alpha,google_10000,simple_adjectives,wordle_guesses	1	0	
addend	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
addenda	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
addends	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
adder	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
adders	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:adder
addible	7	1	0	0	1	0	0	0	english_alpha	0	0	
addict	6	0	1	0	0	1	0	0	bip39,english_alpha	1	0	
addicts	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
addle	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	
addled	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
address	7	0	1	0	0	1	0	0	bip39,english_alpha,google_10000	1	0	
adds	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	
adducer	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adduct	6	0	1	0	0	1	0	0	english_alpha	0	0	
adducts	7	0	1	0	0	1	0	0	english_alpha	0	0	
adelges	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
aden	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adenine	7	0	1	0	0	1	0	0	english_alpha	0	0	
adenoid	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0	
adenoma	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
adept	5	1	1	0	1	1	1	0	english_alpha,simple_adjectives,wordle_answers	1	0	
adepter	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:adept
adepts	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adermin	7	0	1	0	0	1	0	0	english_alpha	0	0	
adience	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
adient	6	1	0	0	1	0	0	0	english_alpha	0	0	
adieu	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
adieus	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adieux	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adios	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
adipose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
adit	4	0	1	0	0	1	0	0	english_alpha	0	0	
adits	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:adit
adjunct	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0	
adlumia	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
adman	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
admass	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
admen	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
admiral	7	0	1	0	0	1	0	0	english_alpha	0	0	
admired	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
admirer	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adnate	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
adnexa	6	0	1	0	0	1	0	0	english_alpha	0	0	
adnexal	7	1	0	0	1	0	0	0	english_alpha	0	0	
adnoun	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adnouns	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adobe	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_answers	1	0	brand:manual
adobes	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:adobe
adobo	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
adobos	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:adobo
adonic	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0	proper_noun:lex_heuristic
adonis	6	0	1	0	0	1	0	0	english_alpha	0	0	
adopted	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0	
adoptee	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adopter	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adored	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
adorer	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adorers	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
adoring	7	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0	
