word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason	metaphone_code
abyssal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABSL
abysses	7	0	1	0	0	1	0	0	english_alpha	0	0	plural:abyss	ABSS
acacia	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKX
acacias	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKXS
academe	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKTM
academy	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		AKTM
acadia	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKT
acadian	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0	proper_noun:lex_heuristic	AKTN
acantha	7	0	1	0	0	1	0	0	english_alpha	0	0		AKN0
acanthi	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKN0
acapnia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKPN
acardia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKRT
acari	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		AKR
acarid	6	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0		AKRT
acarids	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRTS
acarina	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRN
acarine	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0		AKRN
acaroid	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		AKRT
acarus	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRS
acaudal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTL
accent	6	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKSNT
accents	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKSNTS
access	6	0	1	0	0	1	0	0	bip39,english_alpha,google_10000	1	0		AKSS
acclaim	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		AKKLM
accord	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKKRT
accords	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKKRTS
account	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0		AKKNT
accra	5	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKKR
accrete	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		AKKRT
accrual	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKKRL
accrued	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKKRT
accurst	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKKRST
accusal	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKKSL
accused	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	AKKST
accuser	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKKSR
acedia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AST
acedias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ASTS
acer	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	brand:manual	ASR
acerate	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASRT
acerb	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		ASRB
acerber	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acerb	ASRBR
acerbic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASRBK
acerola	7	0	1	0	0	1	0	0	english_alpha	0	0		ASRL
acerose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASRS
acerous	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ASRS
acers	5	0	1	0	0	1	0	0	wordle_guesses	1	0	plural:acer	ASRS
aces	4	0	1	0	0	1	0	0	english_alpha	0	0		ASS
acetal	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTL
acetals	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTLS
acetate	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTT
acetic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTK
acetin	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTN
acetins	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTNS
acetone	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		ASTN
acetose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTS
acetous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTS
acetum	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTM
acetyl	6	0	1	0	0	1	0	0	english_alpha	0	0		ASTL
acetyls	7	0	1	0	0	1	0	0	english_alpha	0	0		ASTLS
achaean	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0		AXN
ache	4	0	1	0	0	1	0	0	english_alpha	0	0	body_medical:manual	AX
achene	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXN
achenes	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXNS
acheron	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AXRN
aches	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:ache	AXS
aching	6	1	1	0	1	1	1	0	eff,english_alpha,simple_adjectives	1	0		AXNK
achira	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXR
acholia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AXL
achras	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AXRS
achy	4	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AX
achylia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AXL
acicula	7	0	1	0	0	1	0	0	english_alpha	0	0		ASKL
acid	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		AST
acider	6	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acid	ASTR
acidic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASTK
acidity	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ASTT
acids	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses	1	0	plural:acid	ASTS
aciform	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ASFRM
acinar	6	1	0	0	1	0	0	0	english_alpha	0	0		ASNR
acini	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ASN
acinic	6	1	0	0	1	0	0	0	english_alpha	0	0		ASNK
acinose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASNS
acinous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASNS
acinus	6	0	1	0	0	1	0	0	english_alpha	0	0		ASNS
ackee	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		AK
ackees	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:ackee	AKS
acme	4	0	1	0	0	1	0	0	english_alpha	0	0		AKM
acmes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acme	AKMS
acne	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		AKN
acned	5	1	0	0	1	0	0	0	english_alpha,wordle_guesses	1	0		AKNT
acnes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acne	AKNS
acock	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	profanity_substr:cock	AKK
acold	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		AKLT
acolyte	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKLT
aconite	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKNT
acorea	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKR
acorn	5	0	1	0	0	1	0	0	eff,english_alpha,wordle_answers	1	0		AKRN
acorned	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		AKRNT
acorns	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:acorn	AKRNS
acorus	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRS
acousma	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKSM
acre	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKR
acreage	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKRJ
acred	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		AKRT
acres	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses	1	0	plural:acre	AKRS
acrid	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_answers	1	0		AKRT
acrider	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acrid	AKRTR
acridid	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRTT
acrobat	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKRBT
acrogen	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKRJN
acromia	7	0	1	0	0	1	0	0	english_alpha	0	0		AKRM
acronym	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		AKRNM
across	6	1	0	0	0	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		AKRS
acrylic	7	1	1	0	0	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		AKRLK
actable	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTBL
actaea	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKT
actin	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		AKTN
actinal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTNL
acting	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		AKTNK
actings	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKTNKS
actinia	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKTN
actinic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		AKTNK
actinon	7	0	1	0	0	1	0	0	english_alpha	0	0		AKTNN
actins	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:actin	AKTNS
action	6	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0	abstract_corporate:noun_manual	AKXN
actions	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		AKXNS
actium	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKTM
active	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		AKTF
actives	7	0	1	0	0	1	0	0	english_alpha	0	0		AKTFS
actor	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers	1	0		AKTR
actors	6	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	AKTRS
actress	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0		AKTRS
acts	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		AKTS
actual	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		AKTL
actuary	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKTR
acuate	6	1	0	0	1	0	0	0	english_alpha	0	0		AKT
acuity	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	AKT
aculea	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKL
aculeus	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	AKLS
acumen	6	0	1	0	0	1	0	0	english_alpha	0	0		AKMN
acumens	7	0	1	0	0	1	0	0	english_alpha	0	0		AKMNS
acute	5	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives,wordle_answers	1	0	formal_clinical:adj_manual	AKT
acuter	6	1	0	0	1	0	0	0	english_alpha	0	0	comparative:acute	AKTR
acutes	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AKTS
acutest	7	1	0	0	1	0	0	0	english_alpha	0	0	superlative:acute	AKTST
acyclic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ASKLK
acyl	4	0	1	0	0	1	0	0	english_alpha	0	0		ASL
acyls	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:acyl	ASLS
adad	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATT
adage	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ATJ
adages	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATJS
adagio	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0		ATJ
adagios	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ATJS
adam	4	1	1	0	0	1	1	0	english_alpha,google_10000,simple_adjectives	1	0	proper_noun:lex_heuristic	ATM
adamant	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0		ATMNT
adamic	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ATMK
adams	5	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	ATMS
adapa	5	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATP
adapid	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ATPT
adapted	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		ATPTT
adapter	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		ATPTR
adaptor	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		ATPTR
adar	4	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ATR
adaxial	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ATKSL
addable	7	1	0	0	1	0	0	0	english_alpha	0	0		ATBL
addax	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ATKS
addaxes	7	0	1	0	0	1	0	0	english_alpha	0	1	plural:addax	ATKSS
added	5	1	0	0	0	0	1	0	english_alpha,google_10000,simple_adjectives,wordle_guesses	1	0		ATT
addend	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ATNT
addenda	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATNT
addends	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ATNTS
adder	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ATR
adders	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:adder	ATRS
addible	7	1	0	0	1	0	0	0	english_alpha	0	0		ATBL
addict	6	0	1	0	0	1	0	0	bip39,english_alpha	1	0		ATKT
addicts	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATKTS
addle	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		ATL
addled	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ATLT
address	7	0	1	0	0	1	0	0	bip39,english_alpha,google_10000	1	0		ATRS
adds	4	0	1	0	0	1	0	0	english_alpha,google_10000	1	0		ATS
adducer	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATSR
adduct	6	0	1	0	0	1	0	0	english_alpha	0	0		ATKT
adducts	7	0	1	0	0	1	0	0	english_alpha	0	0		ATKTS
adelges	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ATLJS
aden	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATN
adenine	7	0	1	0	0	1	0	0	english_alpha	0	0		ATNN
adenoid	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives	1	0		ATNT
adenoma	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ATNM
adept	5	1	1	0	1	1	1	0	english_alpha,simple_adjectives,wordle_answers	1	0		ATPT
adepter	7	1	0	0	1	0	0	0	english_alpha	0	0	comparative:adept	ATPTR
adepts	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ATPTS
adermin	7	0	1	0	0	1	0	0	english_alpha	0	0		ATRMN
